Date,close,high,low,open,volume,returns,log_returns,ema_9,ema_21,ema_50,sma_20,sma_50,macd,macd_signal,macd_hist,rsi,stoch_k,stoch_d,bb_upper,bb_lower,bb_mid,bb_pct,bb_width,atr,obv,price_range,close_open,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,roll_mean5,roll_std5,roll_vol5,roll_mean10,roll_std10,roll_vol10,roll_mean20,roll_std20,roll_vol20
2018-03-15,848.26220703125,851.421922988673,836.1094533488539,840.8733565282002,2486538,0.5644985157119955,0.593034817267147,0.015529503263068954,0.009471204147005632,0.0029929135590833524,0.008349607225565672,0.006533441058344271,0.456045755010249,0.429055657395295,0.6757736378741803,0.7535847494405283,0.9660871303246654,0.9455011876244869,0.009105409343613279,0.018997283118458944,0.008349607225565672,0.8827789095506791,0.10497042315650595,0.04940221851982455,0.06183499996299965,0.07560190648536647,0.5248692323248229,0.5930909902765965,0.6457531435892322,0.5797168212279072,0.5422467815081787,0.49347250514911495,0.019404267492559666,0.13088528385843762,0.09276128733929617,0.012334854428155843,0.11827481981895312,0.09072185343539094,0.008349607225565672,0.0588116355300941,0.09907947208555311
2018-03-16,854.82470703125,858.8594450510664,838.1511049893622,854.5816519539025,2538310,0.5604798517725023,0.5890921892703941,0.01802008649782089,0.01089690509117332,0.0035448982729495973,0.009404750767497007,0.006765283723382021,0.46825128718586484,0.4397641141453794,0.6855204759638388,0.7780829440897405,0.9591053024241888,0.9743578608071124,0.012303524810665961,0.017733442423404862,0.009404750767497007,0.8464976991201258,0.1335591093943425,0.049640485480194056,0.07040810454875897,0.11220272044756963,0.4817037422700698,0.5644985157119955,0.5930909902765965,0.6457531435892322,0.5345654535340353,0.49584142523861685,0.023293679051534375,0.1117573971687888,0.07489391143133038,0.01457182485745916,0.13876138346495354,0.06953780081387737,0.009404750767497007,0.0792584884914554,0.09950047718283173
2018-03-19,844.8594360351562,867.0746460316491,839.9983345619966,855.2622050556415,2536517,0.4770546907277512,0.5064093579524254,0.019348043112879642,0.011884612457616685,0.00393818074750311,0.01048283075907643,0.006851629347932248,0.474333274661088,0.44977840464095437,0.6784287706088741,0.6980786122796993,0.7576131583211007,0.9030461692739205,0.014053562287407857,0.018049521073502495,0.01048283075907643,0.750272382405564,0.14244554991447367,0.05585011943736136,0.06184105579405349,0.15858196348821166,0.4185109277357962,0.5604798517725023,0.5644985157119955,0.5930909902765965,0.5797168212279072,0.520298877250823,0.02587368949827866,0.051784623685478606,0.14729186706694658,0.016518848032805712,0.13781171666472355,0.09699898267533046,0.01048283075907643,0.08601744789557407,0.09598202355722053
2018-03-20,847.5330200195312,855.5538372436909,836.2066301429019,842.9149737389545,1985478,0.540813579343119,0.5697451546563177,0.020588689880792117,0.01286526474044843,0.0043528110947700606,0.011593678429764253,0.006707831518652767,0.47956896844675745,0.45903594255440583,0.6706976740535963,0.709747251786217,0.787917926898307,0.842383012637664,0.015682158879651593,0.018560171931878568,0.011593678429764253,0.737820772927492,0.14922577236753515,0.05434782420507449,0.06854697845390365,0.103917157709504,0.5080732774135825,0.4770546907277512,0.5604798517725023,0.5644985157119955,0.6457531435892322,0.5205538608698155,0.02715398865838999,0.02113950725241184,0.09918744666299201,0.018595455948132878,0.12804136782682016,0.0914163064087105,0.011593678429764253,0.09135560928198241,0.09562395022007925
2018-03-21,848.0191650390625,860.1233197613701,845.4427574828042,850.6927708904325,1859947,0.5296684872560404,0.5587417970908715,0.02161362469890413,0.013771811016825652,0.004757867547124831,0.012249044354970002,0.006453212764875131,0.4833860786979204,0.4673504527042041,0.6610635626315353,0.7119665039163353,0.793428325074671,0.7859732165859606,0.017212779606849093,0.01825792697512545,0.012249044354970002,0.7173318124724127,0.16069609059078793,0.04856436273787675,0.07482892201279491,0.07121489089204114,0.46430458254465945,0.540813579343119,0.4770546907277512,0.5604798517725023,0.5930909902765965,0.5655483466696406,0.027622794355478077,0.01215090264507299,0.07684085892632604,0.020455010695128995,0.1152098489440385,0.09521944078904178,0.012249044354970002,0.09981111172007734,0.05080329531552079
2018-03-22,862.8942260742188,867.2206188320572,848.0192654442397,848.7484307627644,3186401,0.6026548635604049,0.6302883159037046,0.023425479989417682,0.015056266327647505,0.005351621234129466,0.013308284756803056,0.006191114664702471,0.49062565742908687,0.4757250949369797,0.6616778809048381,0.7749746049156543,0.9604600687617781,0.8550386536233419,0.019612195349607234,0.017848289210975588,0.013308284756803056,0.760694826653837,0.17814355982278796,0.04744541352938466,0.08559094439192436,0.10050584579078373,0.564871126723718,0.5296684872560404,0.540813579343119,0.4770546907277512,0.5644985157119955,0.5422467815081787,0.028595962172950552,0.03522552861596797,0.10560099383185123,0.022717900106246854,0.10374548753770113,0.10236368862371795,0.013308284756803056,0.1127839687413368,0.05091771473990063
2018-03-23,870.1858520507812,874.9983548704937,848.6025474293843,849.81782292226,4132765,0.5635502825583366,0.5921048546124815,0.025361188648724258,0.0164495989908865,0.006022374688475441,0.014578881163236503,0.005933435964893564,0.4980517167648921,0.4841922255903174,0.6626227563192095,0.8018626055955975,0.959274831651559,0.9133823547447714,0.02215458485025133,0.01771257752154099,0.014578881163236503,0.7599296442243646,0.19451546808855907,0.053171898148727616,0.09954929722249495,0.1484158654339791,0.6019353151628456,0.6026548635604049,0.5296684872560404,0.540813579343119,0.5604798517725023,0.5345654535340353,0.029617623771984576,0.060062665679022624,0.10648221429942657,0.025178409550790093,0.08246065278198038,0.09827212255251565,0.014578881163236503,0.12521834135941842,0.04596458657280524
2018-03-26,912.9635620117188,923.4149313948253,871.5469963782349,871.5469963782349,5918775,0.7386635818763935,0.7604866516301766,0.029762283609906418,0.019040060303603248,0.007255160560057005,0.01662445061512437,0.006079273189086925,0.5168280654704347,0.4954347383872553,0.6909764717036463,0.9137078478405938,0.9359337164678195,0.9619026753913569,0.02778802473650193,0.015862574763529827,0.01662445061512437,0.8640191850903016,0.2405042462488989,0.0837231284661678,0.11953987248500332,0.3053985660368353,0.7215075007993224,0.5635502825583366,0.6026548635604049,0.5296684872560404,0.4770546907277512,0.5797168212279072,0.03414719302984659,0.1598527126688855,0.21123948745305585,0.028740398437351412,0.11463427765189317,0.19749870310581552,0.01662445061512437,0.159581258003689,0.12055728180068358
2018-03-27,916.220458984375,923.1231995633241,906.4495972361008,922.1023800889188,2756923,0.5425465077129986,0.5714534916443987,0.03350033786927437,0.02149581278100385,0.008484395105517703,0.01863479303765907,0.006320635022263894,0.5317107759578495,0.5079708632719446,0.7041922045491384,0.9200209483703627,0.9560323690287457,0.9603951295457345,0.03264358661201195,0.01476558088035288,0.01863479303765907,0.8144631249179227,0.2762935604746333,0.07771566886402995,0.12885133925379252,0.0764714255403509,0.4478766563478401,0.7386635818763935,0.5635502825583366,0.6026548635604049,0.540813579343119,0.6457531435892322,0.038715558124841,0.18536510837723427,0.21050217615073008,0.03167065281855168,0.14312014154530125,0.18636658258378966,0.01863479303765907,0.18701198234054747,0.12101292580155333
2018-03-28,916.1231689453125,937.2203611418438,892.4982277263616,912.1370894854316,11431588,0.5267443331229013,0.555850111428507,0.03648429372603071,0.023725304304182546,0.00966408631150727,0.02059598239865143,0.006582393365561032,0.542306279500639,0.5205215140613293,0.7043406033447344,0.9192045372230397,0.8599812329311268,0.9265875858383011,0.036691604443298345,0.014424990711291646,0.02059598239865143,0.7721091647774829,0.30192246455642185,0.09851391321844066,0.09024131939596933,0.2579941048669931,0.5024451795759242,0.5425465077129986,0.7386635818763935,0.5635502825583366,0.5296684872560404,0.5930909902765965,0.043245119263871375,0.1596504204474488,0.21205375019248943,0.0341748974941793,0.16104046898916735,0.18967896029747824,0.02059598239865143,0.20735746062636512,0.12238066580970917
