Date,close,high,low,open,volume,returns,log_returns,ema_9,ema_21,ema_50,sma_20,sma_50,macd,macd_signal,macd_hist,rsi,stoch_k,stoch_d,bb_upper,bb_lower,bb_mid,bb_pct,bb_width,atr,obv,price_range,close_open,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,roll_mean5,roll_std5,roll_vol5,roll_mean10,roll_std10,roll_vol10,roll_mean20,roll_std20,roll_vol20
2018-03-15,662.7039184570312,664.422039727105,658.8258613199162,660.249459499783,140732,0.0012609660194833339,0.0012601716695276005,660.8551060106074,664.9620580823595,671.4818404407421,663.3959503173828,677.9116223144531,-5.098551702017062,-5.885819679276684,0.7872679772596225,47.67492739327143,54.158934441982005,55.2225985908637,686.2757874629464,640.5161131718193,663.3959503173828,0.4848768184854465,6.897792226382254,17.530982072795673,5622796,0.008444462528935095,0.0037174721189590426,-0.004944507004618903,-0.0015475256950557847,0.012307855825996583,0.0010726443120987472,0.007324500530920375,662.8020141601562,3.1666953339725867,0.012628850331268317,657.6967102050781,12.171421569489386,0.015477479527333167,663.3959503173828,11.737108805290998,0.013086993378942204
2018-03-16,656.2731323242188,665.0109687182387,653.8677509853327,662.7038016743237,150189,-0.009703860130758302,-0.009751249403260928,659.9387112733298,664.1721557407103,670.885420514604,662.7111602783203,677.5846887207031,-5.144853470392945,-5.737626437499937,0.5927729671069919,44.570766529996256,41.489478732466324,49.3876970893694,685.5829176420073,639.8394029146334,662.7111602783203,0.3592581266990195,6.902481423153163,17.074713191374983,5472607,0.016979542791035553,-0.009703685619213046,0.0012609660194833339,-0.004944507004618903,-0.0015475256950557847,0.026021912167482064,-0.006479309766380337,662.4387451171875,3.868795419358693,0.008256829547058576,655.5809631347656,10.006263142024403,0.015597261996402096,662.7111602783203,11.732963964643503,0.013247306465123912
2018-03-19,661.8201293945312,669.3798731413951,654.3095227535944,654.3095227535944,138766,0.008452269028091264,0.008416748613947676,660.3149948975702,663.9583351637849,670.529918902052,661.9674560546875,677.2626623535157,-4.6800034830797586,-5.5261018466159015,0.846098363536143,47.73208266305646,52.41775907824758,49.35539075089864,683.9210099967653,640.0139021126098,661.9674560546875,0.4966445829102431,6.632819707760403,16.93154441969111,5611373,0.02277106681778921,0.011478675427692491,-0.009703860130758302,0.0012609660194833339,-0.004944507004618903,0.012307855825996583,-0.025289973721110415,661.56494140625,3.254604867375305,0.006812374831372986,655.7331359863281,10.09713451973465,0.013799612536486299,661.9674560546875,11.261935547952739,0.013182668484878668
2018-03-20,674.0924682617188,675.9578807181347,656.2240580608267,656.8131041400611,167488,0.018543314598809424,0.018373483614323362,663.0704895704,664.8796199908699,670.6696267200782,662.033724975586,676.9681262207031,-3.283481406941064,-5.077577758680935,1.7940963517398707,53.98499847076645,76.5958067568444,56.8343481891861,684.1248483199696,639.9426016312024,662.033724975586,0.7729318717329634,6.673715404815149,17.13170715094946,5778861,0.029274652345835542,0.026307885778681,0.008452269028091264,-0.009703860130758302,0.0012609660194833339,-0.0015475256950557847,-0.026020377084113422,663.3517944335938,6.527499368046511,0.011163130475379807,658.8306640625,10.538423101248478,0.011323079596032798,662.033724975586,11.332507162290268,0.013826865851819234
2018-03-21,660.6420288085938,678.4122831682841,658.3348020218422,673.6015208668015,395902,-0.019953404149151255,-0.020155161661251725,662.5847974180389,664.4943844288448,670.2763875862945,661.9478179931641,676.3977075195312,-3.2248911166891503,-4.707040430282578,1.4821493135934274,47.30537888550509,52.857070235419634,60.623545356837205,684.0465568973003,639.8490790890279,661.9478179931641,0.4704555723692008,6.676882468208219,17.342119579198926,5382959,0.030390862631991256,-0.019239107479346606,0.018543314598809424,0.008452269028091264,-0.009703860130758302,-0.004944507004618903,-0.0037402133772276303,663.1063354492187,6.619608217091588,0.015073123777237706,660.8236877441407,8.398355238018603,0.013607675620958323,661.9478179931641,11.336413862012865,0.014127258182910232
2018-03-22,652.787841796875,666.6309645133224,649.9897230021504,662.7038307017565,147381,-0.011888718351575456,-0.011959954329523926,660.6254062938062,663.4301532804839,669.5905622612192,661.4274780273438,675.6270092773437,-3.768780980056931,-4.519388540237449,0.7506075601805176,43.89032996582222,40.6820467348506,56.71164124237155,683.8716613637409,638.9832946909467,661.4274780273438,0.3075306171541977,6.786589333523059,17.292056860054142,5235578,0.025492572694621605,-0.014962926793981493,-0.019953404149151255,0.018543314598809424,0.008452269028091264,0.0012609660194833339,0.0010726443120987472,661.1231201171875,8.091979182236312,0.015863459651151945,661.9625671386718,5.860214811331689,0.014420635397017637,661.4274780273438,11.513623116686919,0.014367733836029373
2018-03-23,652.3950805664062,661.6238686551022,646.0134883562006,648.0261323762969,225060,-0.000601667502549752,-0.0006018485770763125,658.9793411483263,662.4269648519313,668.9162296457365,661.3440307617187,674.5912292480468,-4.183287826093988,-4.452168397408757,0.26888057131476906,43.72035609995355,39.77284477506455,44.437320581778266,683.9091868020223,638.7788747214151,661.3440307617187,0.30170865693707644,6.8240295491330345,17.171937105686105,5010518,0.023927801977520723,0.006741932110188988,-0.011888718351575456,-0.019953404149151255,0.018543314598809424,-0.009703860130758302,0.026021912167482064,660.347509765625,8.82565782341159,0.015404550808574492,661.3931274414062,6.5181150929989204,0.011655697508191721,661.3440307617187,11.57568080438754,0.01403487977783855
2018-03-26,651.0204467773438,657.2548063465233,646.9951594360576,648.1242341388371,186540,-0.0021070572571899593,-0.0021092802254957426,657.3875622741299,661.3900086633324,668.214434239133,660.7255004882812,673.6388977050781,-4.570028502588457,-4.475740418444698,-0.09428808414375922,43.09136194016651,36.5907085608763,39.01520002359715,683.7066485490637,637.7443524274987,660.7255004882812,0.28884750045409574,6.956337554339667,16.678202091741788,4823978,0.01575933131018017,0.004468607229838972,-0.000601667502549752,-0.011888718351575456,-0.019953404149151255,0.008452269028091264,0.012307855825996583,658.1875732421875,9.6574816923631,0.014464507865623805,659.8762573242187,7.023406590452608,0.010706146099304833,660.7255004882812,11.78908020821329,0.013628844639681786
2018-03-27,660.6911010742188,668.3980762123412,653.9167721569567,654.8494783011157,369173,0.014854609167417543,0.014745360034018353,658.0482700341477,661.3264716097766,667.919401565999,660.2714233398438,673.0331372070312,-4.049502154192851,-4.390492765594328,0.3409906114014776,48.68461003240531,58.97728125960833,45.11361153184973,682.8753720508277,637.6674746288598,660.2714233398438,0.5092832836364353,6.846865671286088,16.728161187688617,5193151,0.021918418504259133,0.00892055803153121,-0.0021070572571899593,-0.000601667502549752,-0.011888718351575456,0.018543314598809424,-0.0015475256950557847,655.5072998046875,4.7552720237100505,0.013108706169606016,659.4295471191406,6.788255217118533,0.01200339341363684,660.2714233398438,11.595581024556282,0.013888347433883723
2018-03-28,665.8946533203125,698.0480626770986,651.9042385620162,656.7640788311388,446572,0.007875923010970398,0.007845069821682569,659.6175466913807,661.741760856189,667.8399996740113,659.7216247558594,672.5717016601562,-3.1804360079929666,-4.148481414074056,0.9680454060810897,51.44968365503077,45.82299189348095,47.13032723798853,681.1882023525663,638.2550471591524,659.7216247558594,0.6437823178064513,6.507768365073997,18.82927996821675,5639723,0.06929598230740874,0.01390236583191885,0.014854609167417543,-0.0021070572571899593,-0.000601667502549752,-0.019953404149151255,-0.004944507004618903,656.5578247070313,6.451048487275281,0.010193177465205093,659.832080078125,7.06280114782287,0.012172323115551595,659.7216247558594,11.012121953788794,0.01378461494652753
