Date,close,high,low,open,volume,returns,log_returns,ema_9,ema_21,ema_50,sma_20,sma_50,macd,macd_signal,macd_hist,rsi,stoch_k,stoch_d,bb_upper,bb_lower,bb_mid,bb_pct,bb_width,atr,obv,price_range,close_open,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,roll_mean5,roll_std5,roll_vol5,roll_mean10,roll_std10,roll_vol10,roll_mean20,roll_std20,roll_vol20
2018-03-15,413.5394592285156,420.29364190171106,412.4500814542256,413.48262413830906,1678835,0.0005957412182258093,0.000595563834872483,411.6343762833793,414.7372504345733,426.4499233130293,412.58462982177736,432.3566589355469,-4.830561566201425,-6.309163389500916,1.478601823299491,46.476539057605976,52.41580801325405,52.551409415583755,424.84530775476816,400.32395188878655,412.58462982177736,0.5389386872388611,5.943351761934031,11.580182258647854,-10267390,0.018966897287427235,0.00013745460362452988,-2.2742206530090847e-05,0.015406730980028538,0.00868593243770599,-0.0028843625541520312,0.0005589474527440963,410.1387145996094,4.607074123103093,0.008446421166386428,411.2328399658203,5.491519253049974,0.010444931357258484,412.58462982177736,6.289595070568358,0.013119212896301656
2018-03-16,405.84747314453125,418.51273661120825,401.328909969168,413.0184658311818,2971805,-0.018600367902821824,-0.018775530201910536,410.4769956556097,413.92908886275126,425.64198409073526,412.07640686035154,431.34476379394533,-4.964570290214056,-6.040244769643544,1.0756744794294884,40.595731330743234,29.471498242396645,44.83092193056941,424.5671889225609,399.5856247981422,412.07640686035154,0.2506587784176531,6.062362151416422,11.980442571747309,-13239195,0.04234060276117745,-0.017362402119767785,0.0005957412182258093,-2.2742206530090847e-05,0.015406730980028538,-0.006298467125753104,-0.0025701251338539066,410.60288696289064,3.8248559300286282,0.01276503361914724,409.54002990722654,3.923185602615023,0.011634006683161825,412.07640686035154,6.407635998220167,0.013682779830041762
2018-03-19,401.6225891113281,411.1239077587003,400.1637542473418,408.2820374285711,1460745,-0.01041002916802325,-0.0104645925227395,408.70611434675345,412.81031615807643,424.70004703271934,411.1887969970703,430.51436889648437,-5.350014366773337,-5.902198689069503,0.5521843222961662,37.76890831657921,14.451981866722408,32.113096040791035,423.9978338008399,398.37976019330074,411.1887969970703,0.12658363652577892,6.23024600733995,11.907564781719538,-14699940,0.02728968391845208,-0.016310902040132046,-0.018600367902821824,0.0005957412182258093,-2.2742206530090847e-05,0.00868593243770599,-0.0227201626158281,409.5210815429688,5.489953356542779,0.012826783704343654,408.3852844238281,4.4057659565954435,0.00996692751821161,411.1887969970703,6.570897235864796,0.013651024851442956
2018-03-20,408.6893310546875,409.7787088083208,398.2312699290108,400.69420088192174,1936860,0.01759547927569516,0.01744247105817563,408.7027576883403,412.4356811486774,424.0721758178946,411.23758087158205,429.5532476806641,-5.027302939914762,-5.727219539238555,0.6999165993237932,44.70469361299473,36.14417679572957,26.689218968282876,424.0006544041857,398.4745073389784,411.23758087158205,0.40017099680633444,6.207153298369971,11.881841502976,-12763080,0.028254808730900804,0.01995319661519582,-0.01041002916802325,-0.018600367902821824,0.0005957412182258093,0.015406730980028538,-0.001994717978520355,408.5984191894531,5.066888233935231,0.013608722098037748,408.01962890625,4.186831221371725,0.01188113728965128,411.23758087158205,6.547318575261167,0.012900665408208148
2018-03-21,405.7622375488281,412.99006562985625,403.6213526741436,410.89656260552294,1845300,-0.007162148075423369,-0.0071879193836256764,408.1146536604379,411.82900445778205,423.3541390230293,411.02964935302737,428.29638305664065,-4.950675486975456,-5.5719107287859355,0.6212352418104796,42.587445014702624,32.229195783345226,27.608451481932402,424.00548205208776,398.053816653967,411.02964935302737,0.29702991220822894,6.313818343511096,11.702332321028617,-14608380,0.023089169195014664,-0.012495419830571754,0.01759547927569516,-0.01041002916802325,-0.018600367902821824,-2.2742206530090847e-05,-0.01233644790645183,407.09221801757815,4.397521105794542,0.013701541425544026,407.8699523925781,4.2434162598831975,0.01142823337967465,411.02964935302737,6.656461724757324,0.012939521537916105
2018-03-22,399.4343566894531,407.47684058196097,397.312436065046,405.2507030113551,2052010,-0.015595046245804323,-0.015717928220486725,406.37859426624095,410.7022182970249,422.4161083432812,410.48401031494143,426.9008343505859,-5.339009995682829,-5.5253305821653145,0.18632058648248506,38.358020316909396,9.178908309541303,25.850760296205365,424.4116211756032,396.55639945427964,410.48401031494143,0.10331841060056489,6.78594562062279,11.5924803350205,-16660390,0.025446996100081307,-0.014352464483544615,-0.007162148075423369,0.01759547927569516,-0.01041002916802325,0.0005957412182258093,-0.0028843625541520312,404.2711975097656,3.6958728625631188,0.014360522862217152,407.2049560546875,5.00674905354959,0.012411036629651095,410.48401031494143,7.1447136196525465,0.013367615029137423
2018-03-23,392.61383056640625,398.2218004471837,390.3214048079488,396.1567150524745,2371980,-0.017075461859555552,-0.017222928678500702,403.625641526274,409.0578194124232,421.2473915677175,409.99947052001954,425.44011291503904,-6.126504814364068,-5.645565428605066,-0.48093938575900275,34.39325686984809,7.396038559341678,16.268047550742736,425.60483593868616,394.3941051013529,409.99947052001954,-0.05704046291723374,7.612383205702038,11.415371159769347,-19032370,0.020122560705101353,-0.008943138791927263,-0.015595046245804323,-0.007162148075423369,0.01759547927569516,-0.018600367902821824,-0.006298467125753104,401.6244689941406,6.185095085428788,0.014061248304512964,406.1136779785156,6.774705155199542,0.013302150699061337,409.99947052001954,8.005383547965126,0.013196211788889828
2018-03-26,398.61968994140625,399.70909675855705,388.44580281832344,392.5570386660962,2501400,0.01529711616713958,0.015181294945885025,402.6244512093005,408.10889855142165,420.3600307196269,409.40220336914064,424.22076110839845,-6.194570322568893,-5.7553664073978315,-0.4392039151710616,40.249813253266005,31.945298066987796,16.173414978623594,425.77096711846036,393.0334396198209,409.40220336914064,0.17063751444935785,7.996421912053417,11.40450850123108,-16530970,0.028255739052652464,0.015444000942922443,-0.017075461859555552,-0.015595046245804323,-0.007162148075423369,-0.01041002916802325,0.00868593243770599,401.0238891601563,6.329431605603102,0.016733521711995502,405.2724853515625,7.1593828505316495,0.014070686885609135,409.40220336914064,8.39699862859914,0.012789400370189536
2018-03-27,398.3260192871094,401.46154731865613,395.96727610378286,397.1040358284466,1622835,-0.000736718886967247,-0.0007369903976860272,401.7647648248623,407.2195458910296,419.49595183992034,408.53685302734374,422.99724060058594,-6.200731324809226,-5.844439390880111,-0.35629193392911507,40.0614955784253,31.023192634565984,23.454843086965155,425.3211564728413,391.75254958184615,408.53685302734374,0.19582193942717846,8.21678794513757,10.982348695062665,-18153805,0.013793402762657716,0.003077237571039593,0.01529711616713958,-0.017075461859555552,-0.015595046245804323,0.01759547927569516,0.015406730980028538,398.95122680664065,4.671366878524009,0.013161310097608802,403.7748229980469,6.852825060053802,0.012712605616726535,408.53685302734374,8.610165994954393,0.012377527164036504
2018-03-28,394.1768798828125,400.4384826392866,392.4812513742079,398.43023220051435,3328235,-0.010416440813288186,-0.010471071636538983,400.2471878364524,406.0338489811917,418.5030470572887,407.0642883300781,421.60623962402343,-6.465880195570378,-5.968727551818164,-0.497152643752214,37.399111786127186,17.99518343923838,26.987891380264056,423.45731209142014,390.6712645687361,407.0642883300781,0.1069239990471843,8.054267707242024,10.76626887863524,-21482040,0.020186955834254786,-0.010675275051822142,-0.000736718886967247,0.01529711616713958,-0.017075461859555552,-0.007162148075423369,-2.2742206530090847e-05,396.6341552734375,3.0350903126619198,0.013370403812296582,401.8631866455078,6.562753074304367,0.012811105960489441,407.0642883300781,8.409443752177225,0.011433344434431761
