Date,close,high,low,open,volume
2018-01-01,4106.4296875,4167.938575927434,4093.886698487347,4150.957675387617,166780
2018-01-02,4102.8125,4149.800666229557,4094.6113129125897,4134.3631375944315,141217
2018-01-03,4150.71630859375,4162.342505681358,4096.154025762837,4106.3814798747935,166916
2018-01-04,4192.7353515625,4197.077155516483,4144.010662745584,4150.861158762822,149645
2018-01-05,4241.267578125,4256.898263367974,4197.125897356848,4206.533140799242,165179
2018-01-08,4269.7294921875,4277.544832927998,4217.531741106413,4245.3190958328,176265
2018-01-09,4271.2255859375,4320.577329680641,4231.135980345189,4277.062711659208,137512
2018-01-10,4248.4072265625,4272.335202756695,4222.742246071632,4272.335202756695,108721
2018-01-11,4251.2060546875,4279.089996745235,4227.567338809201,4264.47268094573,111608
2018-01-12,4250.62548828125,4280.246424086613,4198.620426717701,4257.668669728115,77493
2018-01-15,4361.24609375,4405.33971953593,4248.600386761102,4262.494067104423,318055
2018-01-16,4385.31884765625,4429.605156544678,4352.417525849061,4368.81989737188,315736
2018-01-17,4384.4990234375,4438.192579575601,4340.791712128867,4382.328121131787,325182
2018-01-18,4253.666015625,4397.524573772153,4216.374831305866,4394.3888258999,626579
2018-01-19,4148.8349609375,4228.338122709962,4120.854446084666,4214.444444040698,311100
2018-01-22,4177.779296875,4191.528339595662,4110.770616011146,4172.955071358978,179728
2018-01-23,4220.9091796875,4252.121550152692,4149.799888295916,4191.963818922823,250337
2018-01-24,4132.4326171875,4215.361263127965,4124.810433176781,4211.35677804909,244058
2018-01-25,4206.67822265625,4236.58843242024,4131.468329335578,4134.362865764351,279951
2018-01-29,4236.3466796875,4257.9591213706235,4179.034488828965,4216.3741924348715,263874
2018-01-30,4209.8134765625,4230.4125481711735,4154.624133348941,4229.785492908362,201842
2018-01-31,4227.9521484375,4251.011857123421,4177.780192317293,4209.813245055775,189153
2018-02-01,4237.0712890625,4269.441669659505,4194.810770205082,4227.9533099317405,268309
2018-02-02,4032.523681640625,4214.445110785496,3983.847038102864,4214.445110785496,240012
2018-02-05,4000.635009765625,4032.860753009452,3909.6019844832567,3977.9130882614545,178020
2018-02-06,3948.774169921875,3970.0973460693813,3809.788387725713,3840.08443705113,298939
2018-02-07,3938.06494140625,4021.3311497501277,3908.588866187515,4011.730749203391,262748
2018-02-08,4020.510986328125,4034.8870892962705,3909.5054702995517,3941.3936595033333,188256
2018-02-09,4007.2919921875,4021.3788284801785,3911.531327033263,3917.272109737669,181041
2018-02-12,4052.639892578125,4074.0115948034954,4016.2169792008244,4023.4052657839015,218964
2018-02-14,4028.711669921875,4058.669928931173,4008.932340683844,4052.3503804746438,152754
2018-02-15,4040.6279296875,4080.4278027041796,4013.804944718221,4043.088097027617,122433
2018-02-16,4019.88330078125,4110.144389945643,3998.4635467233747,4057.174477318687,114025
2018-02-19,3971.8828125,4066.823509094099,3934.0126291709507,3997.4026915897603,131776
2018-02-20,3995.0390625,4037.878105163132,3940.718217940215,3955.866244006892,123931
2018-02-21,3986.306396484375,4026.251368653934,3975.2106755741347,4018.677238852901,170432
2018-02-22,3955.769775390625,3986.3070397306396,3929.04360347534,3986.3070397306396,196243
2018-02-23,3971.689208984375,3988.911792290793,3920.6972747981704,3974.969588872292,136480
2018-02-26,3995.231689453125,4003.143610269755,3975.16309335054,3975.16309335054,129762
2018-02-27,4029.291259765625,4038.0714477620572,3994.267086550044,4002.1790078470385,179366
2018-02-28,4009.51123046875,4046.513142016743,3979.9868700098664,3979.9868700098664,160018
2018-03-01,4007.2919921875,4033.053551404792,3986.0653945485274,4009.55947297666,198915
2018-03-05,3951.427734375,3989.056704760146,3932.1791158664973,3971.4968012499603,124424
2018-03-06,4004.39794921875,4027.8920305397755,3958.4716819284727,3962.6203289860223,235296
2018-03-07,3968.843994140625,4023.8882426303476,3949.1127148030246,4013.757364666646,188355
2018-03-08,3975.06640625,3988.2849764669127,3921.27627605233,3960.9315155871577,154031
2018-03-09,3936.4248046875,3989.2015681501202,3909.5054752889514,3970.339028042855,135949
2018-03-12,4029.194091796875,4038.6979125057314,3931.6481348628113,3936.424307685217,102681
2018-03-13,4023.405029296875,4061.1305759530273,3996.1962025229022,3997.354205366176,138444
2018-03-14,4081.537109375,4094.803733157024,3999.042830584961,4007.0993836139523,237294
2018-03-15,4042.123046875,4081.295862616437,4009.897306154589,4081.295862616437,188385
2018-03-16,3884.7568359375,4020.3173705233703,3862.5653931381567,3995.424549220897,527458
2018-03-19,3832.751953125,3922.5791583158943,3820.7879638250993,3916.307662920727,193770
2018-03-20,3798.4033203125,3858.320076779439,3772.7383391082317,3829.471294283278,155144
2018-03-21,3858.609619140625,3911.483193385298,3819.2921696757876,3820.787727135121,205143
2018-03-22,3787.1630859375,3870.9600088670977,3775.054463787848,3858.417017811447,180643
2018-03-23,3737.56982421875,3761.883880900721,3679.052045621315,3715.6195916273396,249194
2018-03-26,3811.1396484375,3830.436558049842,3691.691730825509,3727.1980916238135,156418
2018-03-27,3838.73388671875,3849.7813191034834,3785.0883898758652,3810.656792203602,106468
2018-03-28,3811.1396484375,3835.164206681674,3785.0888204608386,3835.164206681674,464340
2018-04-02,3838.63720703125,3978.057359454529,3785.1365797354283,3978.057359454529,303869
2018-04-03,3812.297119140625,3851.277014858016,3776.88733986999,3827.5417236592793,240321
2018-04-04,3744.8544921875,3835.2121695308942,3736.4603843324153,3813.0690147476334,177225
2018-04-05,3827.155517578125,3839.9397179914395,3777.369405141589,3796.6663114258376,124669
2018-04-06,3810.656982421875,3848.9130090628564,3782.242331943311,3811.139405131385,214201
2018-04-09,3780.45703125,3835.2120052679215,3764.2958715178383,3817.0248116205266,107499
2018-04-10,3793.000244140625,3809.0650616173816,3770.664167031268,3806.1222359932945,115836
2018-04-11,3786.6806640625,3798.5483104063615,3753.248862887476,3783.1590723346517,139653
2018-04-12,3736.1708984375,3762.8970689696152,3729.1274798891186,3748.4726773168236,218223
2018-04-13,3742.587158203125,3768.3967736253835,3726.7154978868252,3748.231598228937,304761
2018-04-16,3779.299560546875,3786.1017679601932,3729.272230629444,3729.272230629444,180569
2018-04-17,3779.540771484375,3806.315232243502,3765.3575907343766,3782.1940964244686,103447
2018-04-18,3852.000732421875,3867.775813809189,3784.5578957797984,3795.7019075666317,159338
2018-04-19,3959.1953125,4017.134094237105,3866.6664910553704,3874.0474646407342,449754
2018-04-20,3937.437255859375,3989.153060333827,3915.3906811635143,3960.6901227888156,192832
2018-04-23,3998.0302734375,4016.3138120172007,3928.9472451009915,3928.9472451009915,111251
2018-04-24,3974.439208984375,4026.9752267514095,3952.0065545912485,4021.4754198086725,378441
2018-04-25,3989.442626953125,4016.4102447045193,3935.6044413307873,3988.6709390687606,482116
2018-04-26,3936.03857421875,4028.22960057218,3885.1912680488686,4028.22960057218,512593
2018-04-27,3919.540283203125,3977.9134370262286,3894.116509587553,3934.157598573649,127581
2018-04-30,3964.4052734375,3982.8339155324747,3934.6879868258516,3955.8182432596973,177986
2018-05-02,3875.301513671875,3975.1149578357445,3852.62764697916,3968.215936396081,217139
2018-05-03,3854.895263671875,3888.0858520745,3841.5320603100995,3887.169296032183,146828
2018-05-04,3845.72900390625,3892.475714869887,3820.7876569226023,3858.320047511111,212463
2018-05-07,3891.607177734375,3907.623704920934,3830.436076181755,3864.205663755146,133722
2018-05-08,3921.227783203125,3933.432981730032,3891.2210008750158,3903.9569114156866,202627
2018-05-09,3826.818115234375,3936.569280846202,3815.9636043496885,3931.5521318155397,230272
2018-05-10,3857.982666015625,3875.591094769798,3791.842465967125,3827.541746181065,263132
2018-05-11,3928.46484375,3941.393678607187,3829.037472628498,3869.9951150289908,97087
2018-05-14,3962.667724609375,4008.9322454673143,3913.1713488698097,3941.3930740635324,346826
2018-05-15,3964.839111328125,3993.977631571443,3933.8194251780724,3965.514691571115,211226
2018-05-16,3850.45654296875,3946.2174430225364,3830.5806347293706,3946.2174430225364,218521
2018-05-17,3818.665283203125,3878.485699757189,3801.4909874679456,3857.4520223088443,241558
2018-05-18,3723.193603515625,3802.5038448225637,3716.0536065324723,3792.8553912436673,382059
2018-05-21,3716.825927734375,3877.7139083819725,3680.1135108258322,3762.849009119874,516801
2018-05-22,3623.525146484375,3744.613242760895,3589.2248458060085,3705.006292444912,976312
2018-05-23,3570.7001953125,3618.1705457612925,3560.328106414651,3618.1705457612925,333394
2018-05-24,3529.79052734375,3593.036194191763,3504.0774901256646,3569.9281925972214,398238
2018-05-25,3552.70556640625,3569.9281518484913,3533.2640248835605,3564.0425004019853,271222
