Date,close,high,low,open,volume
2018-01-01,1227.678955078125,1239.3886388618926,1219.2584698827334,1238.5115271009204,49258
2018-01-02,1228.1611328125,1249.7386448579953,1221.0125020693467,1227.985757663356,69302
2018-01-03,1240.6602783203125,1249.4755035671344,1228.8628500124937,1228.8628500124937,63302
2018-01-04,1257.1939697265625,1271.7982226833292,1241.1423708953605,1245.5280459024293,170003
2018-01-05,1258.7733154296875,1278.8596111221877,1254.2998921298622,1256.0542335900495,109218
2018-01-08,1260.966064453125,1269.6057974885052,1254.299803254605,1266.5797208501167,144080
2018-01-09,1244.9144287109375,1267.1059320182078,1238.686782489685,1267.1059320182078,95526
2018-01-10,1241.49365234375,1251.6684783580251,1226.7140193596429,1245.703953645257,74134
2018-01-11,1227.6348876953125,1245.5283421945219,1224.0824499952987,1245.5283421945219,35345
2018-01-12,1296.2266845703125,1332.3645815298005,1230.7048981483638,1230.7048981483638,339454
2018-01-15,1328.6805419921875,1337.6272690119604,1297.1036988285944,1302.541979449335,316891
2018-01-16,1323.812744140625,1349.819691746771,1291.6657783072462,1334.996184496729,144577
2018-01-17,1358.239990234375,1366.3096060578175,1303.0244146932203,1328.8559835706208,100599
2018-01-18,1352.4508056640625,1372.7125912378685,1311.313362527023,1361.3099042918893,110240
2018-01-19,1391.0009765625,1420.9551031904307,1326.7510378843458,1351.266883021842,115760
2018-01-22,1405.4298095703125,1413.2363042738118,1372.7127290576498,1399.0267879518494,87953
2018-01-23,1438.2344970703125,1447.2689716179127,1385.869737665851,1413.9380195553774,250981
2018-01-24,1462.7503662109375,1469.1972606002068,1361.3099342340183,1361.3099342340183,141799
2018-01-25,1455.42626953125,1479.7228639010236,1425.3406438783334,1449.0232482947597,91143
2018-01-29,1422.5338134765625,1455.5140136862988,1412.183612895074,1455.5140136862988,105080
2018-01-30,1408.4998779296875,1434.112202434541,1401.3073726115047,1425.3408487324193,43457
2018-01-31,1450.07568359375,1460.425883824565,1390.7376727785763,1403.4560861913417,138100
2018-02-01,1491.520263671875,1510.3348213672975,1435.8661915570406,1447.26887874466,220831
2018-02-02,1472.310791015625,1534.2802433707548,1447.2685923172664,1484.5468320869472,161982
2018-02-05,1427.8404541015625,1477.9686169217819,1416.6131420264778,1438.9800196307433,104230
2018-02-06,1419.770751953125,1427.9719870848642,1363.9411899444779,1392.8865800143296,49393
2018-02-07,1384.5538330078125,1457.1804883099994,1377.0982076469675,1420.0777366467441,49980
2018-02-08,1398.8951416015625,1435.8662780668458,1386.7468439222862,1395.1234551806776,115493
2018-02-09,1395.342529296875,1418.2357666758278,1365.7393942088754,1385.8695590916063,168280
2018-02-12,1412.753662109375,1418.3235626269222,1375.3440321378878,1395.3425779074466,40140
2018-02-14,1378.9403076171875,1433.2348995972054,1369.6427116727943,1422.709205794414,47423
2018-02-15,1359.994140625,1392.667343685705,1357.8013026640647,1392.667343685705,38513
2018-02-16,1328.5491943359375,1376.616146413864,1321.839177181271,1368.2395343210214,55865
2018-02-19,1304.603271484375,1328.4613688067018,1290.4376293957869,1324.4703162026071,32413
2018-02-20,1323.8564453125,1343.5042433700871,1294.9111685836976,1309.4276802253519,50915
2018-02-21,1325.698486328125,1346.3548972755536,1321.0934435244294,1337.0573009945888,38791
2018-02-22,1329.952392578125,1337.6272664851356,1307.1030280622538,1333.2415905557295,35629
2018-02-23,1336.0921630859375,1345.4775039538383,1320.9616651432414,1320.9616651432414,37973
2018-02-26,1331.5751953125,1353.1087168394129,1327.1895191149572,1346.3987006617383,69694
2018-02-27,1340.5657958984375,1351.6614882716904,1333.4610382001263,1334.9960130751037,45379
2018-02-28,1343.5479736328125,1359.5557032414526,1324.4702943324123,1332.3645349247272,130752
2018-03-01,1337.759033203125,1358.2400689204544,1321.268932355705,1333.241736965433,81630
2018-03-05,1307.3663330078125,1342.5832472529103,1299.4722095794432,1337.7590738176752,42759
2018-03-06,1294.1654052734375,1336.7501948043812,1272.719513025242,1315.6990440657335,80176
2018-03-07,1259.16796875,1289.3850977592183,1247.5459144041297,1281.5348478036678,76147
2018-03-08,1250.5718994140625,1271.7107969522544,1245.572233362382,1271.7107969522544,27063
2018-03-09,1261.0537109375,1272.193395276747,1255.1769327415682,1256.0541623913975,173412
2018-03-12,1257.45751953125,1271.8425290175383,1248.6861665303954,1271.6670359117286,17781
2018-03-13,1237.4588623046875,1262.9395651125587,1229.7401140673962,1261.8432049491616,42171
2018-03-14,1219.4334716796875,1239.3882593722424,1211.3199839818599,1239.3882593722424,54371
2018-03-15,1204.390869140625,1228.2049739239244,1200.7945582577604,1225.3542727679305,61594
2018-03-16,1172.5511474609375,1213.0747260863359,1163.6482918573092,1211.3203845824482,112192
2018-03-19,1155.4468994140625,1179.7434940074343,1149.043878118646,1175.3578177463348,58597
2018-03-20,1144.39501953125,1163.0779569558551,1137.6410124011409,1157.7274227656292,127983
2018-03-21,1137.6409912109375,1153.2539787123615,1134.2201734073176,1153.2539787123615,54322
2018-03-22,1131.325927734375,1152.5087016893829,1118.344390557703,1148.6053951172094,60640
2018-03-23,1120.8878173828125,1130.4486526762694,1113.9585528823256,1119.2213406515498,39366
2018-03-26,1124.396484375,1141.719824113767,1117.2917261358245,1122.7298895529057,38588
2018-03-27,1118.30029296875,1148.999906222499,1111.5462860605842,1127.59788810379,57101
2018-03-28,1135.5797119140625,1140.2723825660344,1116.5897809022945,1126.6768586253295,74764
2018-04-02,1133.9132080078125,1159.3501527517985,1128.8697866821985,1159.3062794797381,33019
2018-04-03,1125.4930419921875,1140.3165495145383,1120.2740087123273,1140.272676234684,75294
2018-04-04,1115.1427001953125,1140.2725333499393,1111.8096286722202,1135.7991105103054,48921
2018-04-05,1121.5018310546875,1140.2725158567503,1118.3442526774625,1135.886839633111,110672
2018-04-06,1132.68505859375,1140.2723029908193,1125.6241754437135,1128.3432564543216,41396
2018-04-09,1132.290771484375,1140.2726417645163,1128.3874649624395,1131.9837764736003,98762
2018-04-10,1131.018798828125,1146.8071625473747,1128.8698339794412,1140.2286481796268,38524
2018-04-11,1120.9315185546875,1140.1406968600427,1118.3878126366778,1135.8866412006116,50442
2018-04-12,1115.93212890625,1126.2823302601657,1113.081427360819,1118.344333560948,74054
2018-04-13,1115.4495849609375,1133.6939068949016,1112.1602690983048,1113.9584834746963,55440
2018-04-16,1102.950439453125,1120.1861482274162,1094.6615756273268,1110.055196723652,170991
2018-04-17,1109.1343994140625,1119.2214793528274,1105.4943325911502,1105.4943325911502,35496
2018-04-18,1101.3717041015625,1117.423190024208,1099.9244757124604,1117.423190024208,29674
2018-04-19,1096.1090087890625,1113.958710813429,1094.6617802774897,1102.6875239179858,52542
2018-04-20,1117.81787109375,1140.0532467862442,1095.6264866130507,1096.4158517083383,259743
2018-04-23,1169.48095703125,1184.129086400505,1123.212229074295,1129.7468697290587,278307
2018-04-24,1187.33056640625,1198.1631356540906,1170.9719703959236,1175.3576460162374,216733
2018-04-25,1186.89208984375,1211.232556988482,1152.5522905557161,1184.0413885647852,245780
2018-04-26,1176.9805908203125,1213.9517277429939,1160.6658649782623,1190.0060003527974,114256
2018-04-27,1179.3983154296875,1213.0702488363765,1172.1797390537808,1186.396730256702,74053
2018-04-30,1195.904052734375,1206.0275769988348,1179.7503515240046,1187.7171213644494,57374
2018-05-02,1183.227783203125,1205.8957834694113,1175.216861461246,1202.0663926658642,144475
2018-05-03,1152.1527099609375,1183.9319669047957,1142.6453996124312,1183.9319669047957,76008
2018-05-04,1132.08154296875,1168.526567767981,1129.4406694763966,1152.3288315756265,121216
2018-05-07,1131.1131591796875,1152.2846501578474,1120.8574192638202,1136.4829700958876,117509
2018-05-08,1127.7679443359375,1149.6877489134617,1119.0968935862527,1137.3194045466378,201144
2018-05-09,1115.5755615234375,1140.0482920498694,1102.1507974167391,1121.2095663194614,426064
2018-05-10,1116.3680419921875,1127.6800852666324,1113.4629746256558,1127.6800852666324,89302
2018-05-11,1096.120849609375,1123.278488361363,1087.4497983647386,1122.3981972165236,152628
2018-05-14,1101.8427734375,1113.5950209422426,1072.6604776252154,1095.9887250238903,86414
