Date,close,high,low,open,volume
2018-01-01,1547.8099365234375,1578.4067662312716,1542.3291918309985,1574.6417794624635,771099
2018-01-02,1566.96875,1569.8759742717846,1549.9546347518512,1550.1453391695834,1392045
2018-01-03,1553.91015625,1572.7353214614322,1547.9528254868885,1571.7821485393345,1120860
2018-01-04,1569.49462890625,1575.1183728425947,1554.6251534682433,1561.2973644273345,747232
2018-01-05,1618.678466796875,1623.253744091105,1566.5399462206292,1567.969705830809,1134406
2018-01-08,1639.3623046875,1643.2702908089693,1620.4894323001306,1630.8790415163264,1489032
2018-01-09,1644.2708740234375,1648.9413279125063,1626.8277642993262,1644.2231688392194,576106
2018-01-10,1652.897216796875,1660.9515981707182,1631.0219437724354,1644.1756608885905,1223879
2018-01-11,1620.6800537109375,1669.9590499091885,1606.096460671794,1658.5209742248792,4145545
2018-01-12,1625.398193359375,1639.8863758393143,1608.9559597657967,1629.9257649286212,2057925
2018-01-15,1603.6181640625,1630.2117121360386,1596.564661094899,1627.1614889411778,997313
2018-01-16,1586.6517333984375,1612.7686965543626,1582.2671609221288,1612.5304033072357,829183
2018-01-17,1579.8365478515625,1600.139179364449,1568.350882973738,1586.1751715946282,600044
2018-01-18,1601.4259033203125,1627.0662797994592,1588.939360530579,1600.3774363112432,2327815
2018-01-19,1605.1431884765625,1613.0068650234339,1592.5613525432143,1604.1900155617902,497099
2018-01-22,1604.3807373046875,1616.3908101149743,1598.0898188137576,1605.1433222417018,820236
2018-01-23,1642.6505126953125,1648.9891358234918,1601.3304902794603,1610.8622193882666,1763797
2018-01-24,1636.884033203125,1657.3772526250207,1625.1599588061576,1644.2234187335025,968956
2018-01-25,1649.179931640625,1654.0887960209404,1623.920846319951,1642.3171323593012,2169317
2018-01-29,1660.9039306640625,1669.053606248569,1643.2702303958931,1649.1798563765487,1232573
2018-01-30,1654.7559814453125,1665.050179710924,1640.6489749448062,1663.2868329868916,653937
2018-01-31,1671.007568359375,1678.5376583542197,1644.3187242742426,1653.7551602751682,1237098
2018-02-01,1711.374267578125,1732.677775360004,1652.6588391517257,1671.8652967033775,3720115
2018-02-02,1678.8236083984375,1696.171310012011,1652.9925276774177,1691.786737595252,2192706
2018-02-05,1632.7852783203125,1657.6154804371179,1604.2377947477207,1640.4106619902263,1600927
2018-02-06,1604.047119140625,1622.2051108722424,1567.4929587875502,1573.2597018331,1846944
2018-02-07,1583.9351806640625,1636.7409863984278,1580.932662541972,1624.2067385897774,1423804
2018-02-08,1592.609130859375,1606.0488472858503,1584.459571280936,1601.330687338024,801569
2018-02-09,1572.5924072265625,1581.8382548829763,1559.0096923527328,1572.7354064434273,1206481
2018-02-12,1608.7655029296875,1620.3941674722478,1568.1602383556076,1572.5925162609901,864259
2018-02-14,1615.1038818359375,1629.449181481592,1600.6634045188569,1622.300384253682,884974
2018-02-15,1607.1925048828125,1623.8730305941726,1590.8455664148569,1616.581234655241,872147
2018-02-16,1581.2186279296875,1617.2962007685373,1572.7353654151093,1614.6749751595123,1088167
2018-02-19,1554.1007080078125,1580.170079901817,1540.3274061467228,1580.170079901817,1151645
2018-02-20,1546.7138671875,1571.8300702275221,1542.5199988359084,1555.6261283199633,859058
2018-02-21,1519.5960693359375,1559.391042454818,1515.5450840483868,1559.391042454818,1425276
2018-02-22,1547.4765625,1554.6253609100709,1511.9231585322582,1518.4047822990453,2073919
2018-02-23,1566.539794921875,1570.6860741201165,1543.1870568777094,1547.476335293985,616552
2018-02-26,1612.1014404296875,1620.3939984684373,1570.8290055741086,1570.8290055741086,1023854
2018-02-27,1606.287109375,1624.1115144685357,1600.043895974057,1620.537115682227,529068
2018-02-28,1602.0455322265625,1609.5279170640092,1583.268070521976,1595.5163203965387,913679
2018-03-01,1620.727783203125,1628.925048217461,1595.1351099092294,1596.3265762297472,760617
2018-03-05,1610.099609375,1618.2492841774122,1598.1373593427168,1608.95584844145,789108
2018-03-06,1630.211669921875,1650.8954754689569,1620.4416476219,1625.1598069714616,1674469
2018-03-07,1624.445068359375,1633.6907998215895,1607.2402493466166,1621.3472561415854,1138136
2018-03-08,1614.8179931640625,1637.7894382251022,1603.665799721598,1631.7368132010163,1112679
2018-03-09,1618.0589599609375,1628.2101598751372,1606.096591624102,1622.3005334980544,1281268
2018-03-12,1654.041259765625,1657.3773654800743,1625.1600694674532,1625.1600694674532,858788
2018-03-13,1648.5126953125,1669.0059147107186,1635.4542718190064,1653.6598527577614,797998
2018-03-14,1652.1824951171875,1655.2327187121357,1630.5455132644552,1643.270350304864,685008
2018-03-15,1660.18896484375,1668.0526415826396,1643.2701451934117,1651.8487016358367,604484
2018-03-16,1643.9375,1671.2459309408084,1639.4576332415159,1659.4742671357437,2412430
2018-03-19,1638.313720703125,1651.801024925731,1632.8329762148608,1649.9423842061417,1392321
2018-03-20,1636.264404296875,1656.6146239613643,1622.395691024134,1630.9742477650157,779431
2018-03-21,1650.3714599609375,1662.1432404191657,1636.2645683848486,1636.2645683848486,1456002
2018-03-22,1671.007568359375,1680.3487103308219,1653.8504543046472,1656.4240912253322,1549193
2018-03-23,1667.5760498046875,1674.5342587719274,1644.2233128968767,1649.9423505069528,1854651
2018-03-26,1677.34619140625,1690.0710277207486,1666.3369966840387,1669.6731021932994,1796664
2018-03-27,1704.4638671875,1711.8986629334256,1676.440674808525,1689.0225115356516,852040
2018-03-28,1712.6136474609375,1722.3836710515732,1689.165614114238,1689.165614114238,2380088
2018-04-02,1720.0958251953125,1725.1476882042482,1703.7965915622394,1717.236306440243,663945
2018-04-03,1744.0206298828125,1754.9821196236887,1710.9455725976459,1710.9455725976459,1152587
2018-04-04,1715.0919189453125,1753.314135307057,1708.6580008026726,1744.3066964490147,732382
2018-04-05,1750.930908203125,1755.3631854490495,1727.1492909428803,1746.8799233871719,613812
2018-04-06,1738.7305908203125,1752.8374817291206,1729.0558613791459,1751.8367198688038,498517
2018-04-09,1772.9970703125,1781.6709213234922,1740.6844824094105,1744.211292314493,1148635
2018-04-10,1761.4158935546875,1782.4334034904336,1758.6040799143582,1777.6675387752184,610933
2018-04-11,1768.8507080078125,1772.9969870836592,1751.979593276801,1763.3699635265814,470440
2018-04-12,1770.8048095703125,1777.191021997493,1759.7956151047847,1765.2763597422133,403510
2018-04-13,1774.14111328125,1784.2447247320902,1756.555000014545,1770.0424224657113,408479
2018-04-16,1777.333984375,1785.054662085563,1765.8959088470187,1771.7579458259333,636242
2018-04-17,1779.4310302734375,1790.3925200105664,1768.755538984146,1777.334096169725,405779
2018-04-18,1757.2696533203125,1785.483549786469,1750.0255620640744,1783.3866158071257,576214
2018-04-19,1747.118408203125,1781.4326362894403,1717.951337600582,1766.2295734428483,2259972
2018-04-20,1727.959716796875,1757.6510801692589,1716.7599336124993,1757.6510801692589,1819822
2018-04-23,1786.6275634765625,1797.1124668815257,1724.099435532335,1729.437181267672,1620444
2018-04-24,1789.4869384765625,1799.4952545571316,1768.7077214057326,1790.916697916644,1109545
2018-04-25,1761.225341796875,1789.677531462128,1758.8901145799512,1786.2461320672946,809675
2018-04-26,1793.776123046875,1811.0285294513517,1757.6508464780488,1763.3698839394742,2077102
2018-04-27,1796.4451904296875,1807.59738486283,1776.714554950166,1794.7771376018104,567026
2018-04-30,1809.122314453125,1814.078767403128,1791.9652008281744,1792.9183738073382,466913
2018-05-02,1780.813232421875,1810.5044794553446,1774.5221972913569,1806.2629059803148,1320018
2018-05-03,1790.201904296875,1795.7779431105491,1764.418527945702,1775.7613099867053,1200445
2018-05-04,1802.5931396484375,1809.1223514182948,1782.7195058976233,1790.5354779448191,752654
2018-05-07,1801.306396484375,1811.0764198132526,1792.9184274750048,1804.8330900711971,2126759
2018-05-08,1782.0521240234375,1804.3563943239394,1756.6977468246278,1803.4985153981277,1401495
2018-05-09,1791.107421875,1801.4970311987713,1773.1401334854572,1782.052278067387,1375815
2018-05-10,1797.064697265625,1821.4659028625076,1768.1359199061794,1791.1073659990948,2716101
2018-05-11,1805.5478515625,1809.0269560835302,1785.8648069720164,1801.5445717340474,542317
2018-05-14,1825.3262939453125,1828.5194002226424,1797.6842769612842,1797.6842769612842,497437
2018-05-15,1827.1849365234375,1860.1171102279764,1815.8898597398422,1829.1389877158526,1198159
2018-05-16,1835.4300537109375,1848.3931842866787,1811.0288462117535,1822.0856306335877,506000
2018-05-17,1824.70654296875,1843.6747072107473,1816.3662799789122,1830.0919931987257,503632
2018-05-18,1839.623779296875,1853.921373436488,1816.747628673494,1825.326185157262,952766
2018-05-21,1834.810302734375,1855.8278137304453,1822.8956403452478,1845.2476167997254,845801
2018-05-22,1814.793701171875,1840.8630760115066,1806.2628492960064,1834.5720410784143,545822
2018-05-23,1766.84912109375,1809.7894941140235,1762.0355509937126,1806.2628006227947,1220570
2018-05-24,1783.100830078125,1790.8216250915239,1750.0257708205029,1766.8492989143049,864810
2018-05-25,1825.2784423828125,1829.3771324934166,1771.6624654633104,1786.2460577270615,674128
2018-05-28,1824.8018798828125,1834.857900894296,1806.215007639987,1829.138863281119,811547
2018-05-29,1789.3916015625,1827.2802258165239,1782.4333925792332,1818.7492582160398,855287
2018-05-30,1796.5880126953125,1803.5938106115066,1771.1859302906064,1781.194246272061,848282
2018-05-31,1863.882080078125,1901.5801184415102,1781.2420282393846,1795.7779163628097,3896725
2018-06-01,1825.7076416015625,1856.7810590520387,1815.7946188368244,1856.7810590520387,1082637
2018-06-04,1813.1256103515625,1871.0785745354724,1803.4032924203332,1841.4825067307934,964088
2018-06-05,1810.456787109375,1826.803727038003,1804.2611627201202,1808.1691486794407,708586
2018-06-06,1829.9014892578125,1838.1940474414641,1793.2519192513425,1813.8881370397232,508953
2018-06-07,1811.45751953125,1850.8236096303776,1806.3580674259845,1835.8111353923562,754249
2018-06-08,1800.2578125,1810.0278358256614,1791.9652538774305,1806.2628489881547,1889091
2018-06-11,1815.6038818359375,1838.8136198993302,1806.5487388102679,1809.9801381596976,794575
2018-06-12,1863.2149658203125,1866.7416594620784,1818.6541270163225,1820.560473061413,1275739
2018-06-13,1861.4923095703125,1883.8347127704783,1853.9333346142162,1873.5007497587708,1169830
2018-06-14,1878.6680908203125,1886.0357450871973,1850.536845506449,1856.277911211226,917199
2018-06-15,1882.4476318359375,1893.0208081931235,1863.119423475159,1878.2853824436536,2274265
2018-06-18,1883.021484375,1903.1631013744052,1876.3714639493255,1877.4239692019999,792509
2018-06-19,1848.1446533203125,1877.758935887657,1834.0312007515968,1877.328402699691,905231
2018-06-20,1882.495361328125,1889.7673541151512,1844.3172531933944,1855.3209618376093,489671
2018-06-21,1875.8929443359375,1890.4848175321235,1862.0665931758665,1884.3132195241503,779490
2018-06-22,1868.9560546875,1879.002919438156,1844.2216538761024,1875.8931755867623,956565
2018-06-25,1884.935302734375,1891.5854404208658,1862.4973515646154,1866.8031507334008,566785
2018-06-26,1897.7093505859375,1907.8518768251226,1872.4007487205563,1876.4673370034316,662063
2018-06-27,1884.265380859375,1908.904118224935,1874.553389178128,1903.163053207717,555455
2018-06-28,1882.686767578125,1904.1201026467654,1864.1718542620908,1884.0263729203423,1393387
2018-06-29,1848.8143310546875,1893.5946866876643,1846.2787873465693,1884.9830888199588,1324639
2018-07-02,1864.6981201171875,1872.5920851754383,1845.2741351317325,1854.3641555018394,708738
2018-07-03,1866.802978515625,1871.3958772595329,1851.4934717722883,1860.1050693154152,926035
2018-07-04,1891.01123046875,1900.0533613961834,1861.3490604054077,1869.6735581861474,1514361
2018-07-05,1879.672607421875,1905.0768685373946,1875.510358367394,1894.7429040966435,490611
2018-07-06,1874.8404541015625,1886.3703560475747,1868.0468839853074,1876.8019145310843,590699
2018-07-09,1873.7879638671875,1884.982993810026,1860.2963677793234,1883.7390496820371,853596
2018-07-10,1851.58935546875,1884.983244428472,1840.968407248924,1884.983244428472,3301425
2018-07-11,1832.1654052734375,1862.592982153619,1820.9702575364083,1859.1483662354085,1739970
2018-07-12,1854.507568359375,1868.7166810530111,1840.202677806052,1840.202677806052,844316
2018-07-13,1840.7291259765625,1864.6981211604818,1835.5621436659974,1852.9288901643213,954344
2018-07-16,1839.7720947265625,1866.3245199657574,1835.7055070773163,1846.6613259055557,659528
2018-07-17,1822.7882080078125,1844.3650915216742,1810.3492333599902,1841.0639089376205,1131560
2018-07-18,1818.0330810546875,1847.908531096412,1811.740932818276,1834.7959605953909,773027
2018-07-19,1813.9024658203125,1830.8575421112998,1806.937925702639,1820.2425754401647,593314
2018-07-20,1827.639404296875,1838.5904490493676,1803.5756713369765,1813.6622463298065,817518
2018-07-23,1863.7589111328125,1865.9203200430927,1828.0716250058435,1831.1936600984704,1072520
2018-07-24,1870.7236328125,1877.8322907057036,1863.6149749192962,1873.2212376766122,573920
2018-07-25,1887.6785888671875,1893.0099939969202,1863.6148552991144,1873.173039223551,1065275
2018-07-26,1883.16357421875,1909.7249124753325,1871.1557465497651,1887.6305095644007,2959597
2018-07-27,1903.52880859375,1910.4933482330423,1878.7926850472988,1891.472903416022,858768
2018-07-30,1892.625732421875,1911.2139435967417,1887.6305229816483,1900.118663846158,1792695
2018-07-31,1916.5933837890625,1922.9334932476943,1885.949384597745,1892.5296506060517,460626
2018-08-01,1922.5491943359375,1941.425522347922,1914.2397543723582,1926.0555033684234,884802
2018-08-02,1943.3948974609375,1952.2326116710574,1916.9776767346716,1920.2917902474812,1278375
2018-08-03,1936.4783935546875,1957.7562883454807,1924.566604657598,1953.049196289702,1234257
2018-08-06,1921.0604248046875,1945.9405509093153,1914.7682759512945,1943.250867763274,749860
2018-08-07,1915.7767333984375,1930.0899688901773,1902.0878110785643,1925.8633077393968,531559
2018-08-08,1921.8768310546875,1935.4216370259298,1905.9784205343803,1917.40989577057,886494
2018-08-09,1906.8909912109375,1931.8191929664674,1893.970499099519,1928.9373145085365,593894
2018-08-10,1901.5594482421875,1919.3310318706192,1884.9886472913524,1903.0003874553036,648603
2018-08-13,1915.392578125,1917.409869665347,1885.7092054875131,1892.4335887979628,930525
2018-08-14,1918.94677734375,1921.2523035608099,1901.2712326982034,1915.392507487736,322251
2018-08-16,1906.074462890625,1916.353233609245,1896.4202399199642,1909.2926544781194,812823
2018-08-17,1912.0303955078125,1916.449252537065,1904.057151210729,1912.6067477700733,462694
2018-08-20,1912.5587158203125,1921.2524299715105,1908.6201717916595,1913.5674202516245,671269
2018-08-21,1898.1494140625,1916.4493912453847,1889.840090713622,1916.4493912453847,688170
2018-08-23,1880.1375732421875,1898.1013537460478,1875.1904420667474,1898.1013537460478,1012394
2018-08-24,1852.2314453125,1881.6265838071263,1845.891335796238,1881.6265838071263,939358
2018-08-27,1874.5179443359375,1886.477811091141,1854.008598064028,1856.4582418219693,1305157
2018-08-28,1857.514892578125,1891.1368098947992,1854.1046226304286,1883.01944806998,686872
2018-08-29,1830.521240234375,1862.9423733848287,1825.2857572635694,1858.8116339593444,1139011
2018-08-30,1801.798583984375,1832.346427269229,1793.4891437701447,1825.28584804033,2124825
2018-08-31,1831.5299072265625,1840.3677387106222,1788.6860017439164,1797.3316376277485,1952492
2018-09-03,1822.3079833984375,1843.2976433601216,1810.4922337011876,1830.9536195874655,937981
2018-09-04,1782.5380859375,1824.0372112245507,1770.4342183694246,1820.3867844872814,1290572
2018-09-05,1781.8175048828125,1791.2796496129529,1753.1428359233746,1782.7301701420693,804386
2018-09-06,1805.9771728515625,1810.780303630423,1778.1190143341714,1796.3709112938416,1003340
2018-09-07,1801.9906005859375,1811.692901574225,1792.4324169777801,1798.38825240237,763150
2018-09-10,1757.12939453125,1798.2922027492998,1746.6104675382162,1798.2922027492998,1157745
2018-09-11,1754.583740234375,1781.9135084997097,1747.8593568882811,1761.8844758430605,1430413
2018-09-12,1756.36083984375,1764.7183579066982,1733.7381638293534,1753.1427656171852,1149898
2018-09-14,1799.060791015625,1807.706426800007,1763.7097000139097,1772.3553357982917,1512590
2018-09-17,1803.1434326171875,1806.841819987228,1776.197821145292,1784.6513785030465,1009490
2018-09-18,1788.830078125,1814.9111025628592,1782.9702818352857,1793.729248227419,823718
2018-09-19,1733.5941162109375,1801.5584206814106,1728.4067112155265,1793.1048631137821,1471601
2018-09-21,1693.0555419921875,1761.884430345837,1662.8438959301122,1748.3396248369754,4403405
2018-09-24,1608.2802734375,1704.4390460602253,1593.534685304296,1699.3476804962959,4685534
2018-09-25,1629.942626953125,1649.9237003155338,1584.0727224668944,1609.1450447123373,4503074
2018-09-26,1634.7938232421875,1645.0724773630518,1613.3718106459828,1637.8677803818996,2914677
2018-09-27,1615.7733154296875,1647.3298635654035,1610.2977928358896,1637.8677186727807,2809983
2018-09-28,1623.5064697265625,1652.277179522553,1602.6608093707284,1626.4363094830444,1801534
2018-10-01,1577.97265625,1604.1497202890368,1552.0357487617798,1594.6394974239013,5213931
2018-10-03,1574.1781005859375,1593.8709376052675,1542.7656708801921,1575.234883212761,5112718
2018-10-04,1526.9154052734375,1563.1309675398059,1490.26749084161,1551.2192959999768,3065332
2018-10-05,1544.0625,1573.9379513842925,1510.1043872633732,1510.1043872633732,4352946
2018-10-08,1537.0018310546875,1565.2442631531042,1519.8065996169764,1542.7655879211427,2426418
2018-10-09,1544.5909423828125,1555.3019483258495,1527.4917485421304,1544.6869815532546,1065187
2018-10-10,1573.4576416015625,1601.219762308758,1541.0365072646682,1548.5294385503266,2264070
2018-10-11,1529.84521484375,1546.6080941762984,1519.1342098691832,1546.6080941762984,2131052
2018-10-12,1587.6268310546875,1594.1591359442461,1542.7656356290806,1548.433353509148,2169080
2018-10-15,1562.890625,1602.0361395395691,1526.0026756622012,1602.0361395395691,4301735
2018-10-16,1556.742919921875,1629.1740455272297,1551.4113973165397,1574.466427369541,7490737
2018-10-17,1540.7484130859375,1587.4829020014436,1537.0019473863947,1571.8246477568675,3532784
2018-10-19,1514.6192626953125,1549.6341575827253,1508.1831141456169,1527.3956378926948,4071551
2018-10-22,1392.379638671875,1537.3862380846526,1365.5301825163674,1527.3957018649485,6528861
2018-10-23,1415.146484375,1439.0180215602445,1368.8923102292044,1378.4985720553743,7242862
2018-10-24,1461.4486083984375,1468.509187334388,1421.77481771532,1431.3330012543631,2177827
2018-10-25,1432.3896484375,1462.937607331614,1417.499942908495,1442.9565362322778,4971095
2018-10-26,1388.87353515625,1439.0181805225502,1381.4766423746325,1437.5772410894501,2263193
2018-10-29,1357.1727294921875,1388.1048459354856,1320.8610125683686,1388.1048459354856,4620039
2018-10-30,1310.5823974609375,1354.482968762778,1296.4611216835556,1354.482968762778,5974755
2018-10-31,1368.9884033203125,1379.6513309145953,1280.6588692548794,1301.6485287190737,6474213
2018-11-01,1406.308837890625,1434.1670008463886,1342.955579729565,1346.7980849648427,5635786
2018-11-02,1481.093505859375,1493.6776854888901,1416.923629495949,1426.5298913908366,5732745
2018-11-05,1427.9228515625,1474.5613032046158,1421.918937461504,1474.5613032046158,2926342
2018-11-06,1417.3558349609375,1452.0824944430544,1385.8473669579714,1431.3329926335039,2830304
2018-11-07,1425.47314453125,1442.0439453524666,1416.9235484808503,1427.4904359610464,140435
2018-11-09,1436.0400390625,1460.4399664529994,1417.884181577321,1418.9408468777424,1913755
2018-11-12,1434.21484375,1459.1911236813462,1419.9975298065829,1442.7644399485168,1434191
